activation,optimizer,epoch,loss,type
DynamicSwish,LAMB,4,0.5612686530130744,Single
DynamicSwish,LAMB,5,0.43626654515926155,Single
DynamicSwish,LAMB,6,0.3238526017998043,Single
DynamicSwish,LAMB,7,0.38890790433068223,Single
DynamicSwish,LAMB,8,0.3070739014957734,Single
DynamicSwish,LAMB,9,0.26871586938308817,Single
DynamicSwish,LAMB,10,0.2603346586356893,Single
AdaptiveGELUMish,SGD,1,0.90585357090364,Single
AdaptiveGELUMish,SGD,2,0.7067858391746134,Single
AdaptiveGELUMish,SGD,3,0.5879583522956697,Single
AdaptiveGELUMish,SGD,4,0.4675310034025092,Single
AdaptiveGELUMish,SGD,5,0.4240234852578272,Single
AdaptiveGELUMish,SGD,6,0.40234124692720313,Single
AdaptiveGELUMish,SGD,7,0.3576165988414489,Single
AdaptiveGELUMish,SGD,8,0.2516288834205486,Single
AdaptiveGELUMish,SGD,9,0.25952531986841304,Single
AdaptiveGELUMish,SGD,10,0.1911686388549742,Single
AdaptiveGELUMish,Adam,1,0.9364315499706642,Single
AdaptiveGELUMish,Adam,2,0.7254080415003102,Single
AdaptiveGELUMish,Adam,3,0.663193266058324,Single
AdaptiveGELUMish,Adam,4,0.5300670672368363,Single
AdaptiveGELUMish,Adam,5,0.38531457861992663,Single
AdaptiveGELUMish,Adam,6,0.3275430250201031,Single
AdaptiveGELUMish,Adam,7,0.3195349753027864,Single
AdaptiveGELUMish,Adam,8,0.30357672343503384,Single
AdaptiveGELUMish,Adam,9,0.24232802115683824,Single
AdaptiveGELUMish,Adam,10,0.23677549495526506,Single
AdaptiveGELUMish,AdamW,1,0.9380361966492491,Single
AdaptiveGELUMish,AdamW,2,0.7600046219268798,Single
AdaptiveGELUMish,AdamW,3,0.648244510225015,Single
AdaptiveGELUMish,AdamW,4,0.4880142521493705,Single
AdaptiveGELUMish,AdamW,5,0.4429033136853694,Single
AdaptiveGELUMish,AdamW,6,0.3787555043232319,Single
AdaptiveGELUMish,AdamW,7,0.30549943623910186,Single
AdaptiveGELUMish,AdamW,8,0.3034490496251394,Single
AdaptiveGELUMish,AdamW,9,0.25450074762466646,Single
AdaptiveGELUMish,AdamW,10,0.20703898687947206,Single
AdaptiveGELUMish,RAdam,1,0.9090492817431249,Single
AdaptiveGELUMish,RAdam,2,0.7168113871189801,Single
AdaptiveGELUMish,RAdam,3,0.6207843635284969,Single
AdaptiveGELUMish,RAdam,4,0.5571799200120907,Single
AdaptiveGELUMish,RAdam,5,0.48464334896140676,Single
AdaptiveGELUMish,RAdam,6,0.3642240761827099,Single
AdaptiveGELUMish,RAdam,7,0.31855783503301077,Single
AdaptiveGELUMish,RAdam,8,0.3061022252644643,Single
AdaptiveGELUMish,RAdam,9,0.26060629263777957,Single
AdaptiveGELUMish,RAdam,10,0.23852676898594954,Single
AdaptiveGELUMish,Sophia,1,0.9014798379759197,Single
AdaptiveGELUMish,Sophia,2,0.718812707012878,Single
AdaptiveGELUMish,Sophia,3,0.6612274110572649,Single
AdaptiveGELUMish,Sophia,4,0.5168663902293612,Single
AdaptiveGELUMish,Sophia,5,0.39981417198666724,Single
AdaptiveGELUMish,Sophia,6,0.3657980276466667,Single
AdaptiveGELUMish,Sophia,7,0.2910509960774554,Single
AdaptiveGELUMish,Sophia,8,0.29402471047445733,Single
AdaptiveGELUMish,Sophia,9,0.27353703364147003,Single
AdaptiveGELUMish,Sophia,10,0.25642971549325355,Single
AdaptiveGELUMish,LAMB,1,0.8843939509569899,Single
AdaptiveGELUMish,LAMB,2,0.7118460820597922,Single
AdaptiveGELUMish,LAMB,3,0.5957862330917661,Single
AdaptiveGELUMish,LAMB,4,0.5797160192355536,Single
AdaptiveGELUMish,LAMB,5,0.5068768866128477,Single
AdaptiveGELUMish,LAMB,6,0.4061917502961515,Single
AdaptiveGELUMish,LAMB,7,0.3564035390599626,Single
AdaptiveGELUMish,LAMB,8,0.26382281857502077,Single
AdaptiveGELUMish,LAMB,9,0.27271135631429116,Single
AdaptiveGELUMish,LAMB,10,0.18645920670090374,Single
ReLU,SGD+Adam,1,0.8748325136947568,Combo
ReLU,SGD+Adam,2,0.8148842626024139,Combo
ReLU,SGD+Adam,3,0.6494662579866063,Combo
ReLU,SGD+Adam,4,0.5761718955171667,Combo
ReLU,SGD+Adam,5,0.4520052238070063,Combo
ReLU,SGD+Adam,6,0.46015503739647545,Combo
ReLU,SGD+Adam,7,0.36548014944031504,Combo
ReLU,SGD+Adam,8,0.3140159225848628,Combo
ReLU,SGD+Adam,9,0.2793509952453143,Combo
ReLU,SGD+Adam,10,0.28439414130619406,Combo
ReLU,AdamW+RAdam,1,0.9370926202173586,Combo
ReLU,AdamW+RAdam,2,0.7874209933651876,Combo
ReLU,AdamW+RAdam,3,0.6915846270623438,Combo
ReLU,AdamW+RAdam,4,0.6045126973198975,Combo
ReLU,AdamW+RAdam,5,0.5120811883518184,Combo
ReLU,AdamW+RAdam,6,0.45193779247386245,Combo
ReLU,AdamW+RAdam,7,0.40201570178340473,Combo
ReLU,AdamW+RAdam,8,0.37580085523587403,Combo
ReLU,AdamW+RAdam,9,0.27856334188045956,Combo
ReLU,AdamW+RAdam,10,0.29600513821460617,Combo
ReLU,SGD+Adam+RAdam,1,0.9224512726590203,Combo
ReLU,SGD+Adam+RAdam,2,0.8330496161103219,Combo
ReLU,SGD+Adam+RAdam,3,0.6934147398347028,Combo
ReLU,SGD+Adam+RAdam,4,0.5647985550309137,Combo
ReLU,SGD+Adam+RAdam,5,0.4993898366163564,Combo
ReLU,SGD+Adam+RAdam,6,0.4196891832966057,Combo
ReLU,SGD+Adam+RAdam,7,0.36482311453789407,Combo
ReLU,SGD+Adam+RAdam,8,0.31762184645577757,Combo
ReLU,SGD+Adam+RAdam,9,0.3173262848999498,Combo
ReLU,SGD+Adam+RAdam,10,0.3271363532158046,Combo
Swish,SGD+Adam,1,0.9004298796662354,Combo
Swish,SGD+Adam,2,0.7956975352087217,Combo
Swish,SGD+Adam,3,0.6896668022476934,Combo
Swish,SGD+Adam,4,0.6264067761106843,Combo
Swish,SGD+Adam,5,0.4942539295205406,Combo
Swish,SGD+Adam,6,0.44804228336089613,Combo
Swish,SGD+Adam,7,0.4546082185756948,Combo
Swish,SGD+Adam,8,0.3235179068728049,Combo
Swish,SGD+Adam,9,0.2696635067955719,Combo
Swish,SGD+Adam,10,0.3001724282581684,Combo
Swish,AdamW+RAdam,1,0.9576124216124997,Combo
Swish,AdamW+RAdam,2,0.7658621911185434,Combo
Swish,AdamW+RAdam,3,0.6850990277123629,Combo
Swish,AdamW+RAdam,4,0.5636901802354546,Combo
Swish,AdamW+RAdam,5,0.5301841064679892,Combo
Swish,AdamW+RAdam,6,0.43216638854335476,Combo
Swish,AdamW+RAdam,7,0.3601033498920773,Combo
Swish,AdamW+RAdam,8,0.32567539043931026,Combo
Swish,AdamW+RAdam,9,0.26809135404721895,Combo
Swish,AdamW+RAdam,10,0.20839108148086172,Combo
Swish,SGD+Adam+RAdam,1,0.9375630107883062,Combo
Swish,SGD+Adam+RAdam,2,0.8243582952091488,Combo
Swish,SGD+Adam+RAdam,3,0.6872605779748273,Combo
Swish,SGD+Adam+RAdam,4,0.5554672323523059,Combo
Swish,SGD+Adam+RAdam,5,0.4581871200100815,Combo
Swish,SGD+Adam+RAdam,6,0.48631315933130337,Combo
Swish,SGD+Adam+RAdam,7,0.42103917072951347,Combo
Swish,SGD+Adam+RAdam,8,0.3049736281079832,Combo
Swish,SGD+Adam+RAdam,9,0.26801575202802047,Combo
Swish,SGD+Adam+RAdam,10,0.22927752337717053,Combo
GELU,SGD+Adam,1,0.8562008763494006,Combo
GELU,SGD+Adam,2,0.7776592346664369,Combo
GELU,SGD+Adam,3,0.7300574278089311,Combo
GELU,SGD+Adam,4,0.5795093919439608,Combo
GELU,SGD+Adam,5,0.5266020344030417,Combo
GELU,SGD+Adam,6,0.48959931255597466,Combo
GELU,SGD+Adam,7,0.3738226713694505,Combo
GELU,SGD+Adam,8,0.3449237887779014,Combo
GELU,SGD+Adam,9,0.2954091609122078,Combo
GELU,SGD+Adam,10,0.30137096622250364,Combo
GELU,AdamW+RAdam,1,0.8980943849557697,Combo
GELU,AdamW+RAdam,2,0.829314799199558,Combo
GELU,AdamW+RAdam,3,0.6861917035341282,Combo
GELU,AdamW+RAdam,4,0.5703973112528666,Combo
GELU,AdamW+RAdam,5,0.5263171244720025,Combo
GELU,AdamW+RAdam,6,0.4356539092209134,Combo
GELU,AdamW+RAdam,7,0.3664160115373881,Combo
GELU,AdamW+RAdam,8,0.35471535518623115,Combo
GELU,AdamW+RAdam,9,0.3156545135277595,Combo
GELU,AdamW+RAdam,10,0.2591048271018386,Combo
GELU,SGD+Adam+RAdam,1,0.8727392937613836,Combo
GELU,SGD+Adam+RAdam,2,0.7883822121069679,Combo
GELU,SGD+Adam+RAdam,3,0.721918610851056,Combo
GELU,SGD+Adam+RAdam,4,0.553833868848991,Combo
GELU,SGD+Adam+RAdam,5,0.5501124231260532,Combo
GELU,SGD+Adam+RAdam,6,0.48087211651446493,Combo
GELU,SGD+Adam+RAdam,7,0.3992976086551729,Combo
GELU,SGD+Adam+RAdam,8,0.36813481324020714,Combo
GELU,SGD+Adam+RAdam,9,0.2516422258131238,Combo
GELU,SGD+Adam+RAdam,10,0.19772908097337052,Combo
PAReLU,SGD+Adam,1,0.9253005393990367,Combo
PAReLU,SGD+Adam,2,0.770525484813187,Combo
PAReLU,SGD+Adam,3,0.6870444427358197,Combo
PAReLU,SGD+Adam,4,0.6410618634371833,Combo
PAReLU,SGD+Adam,5,0.54299811349091,Combo
PAReLU,SGD+Adam,6,0.3766801402431767,Combo
PAReLU,SGD+Adam,7,0.41389785996228007,Combo
PAReLU,SGD+Adam,8,0.35214060805472397,Combo
PAReLU,SGD+Adam,9,0.3482049938711566,Combo
PAReLU,SGD+Adam,10,0.2826415213467722,Combo
PAReLU,AdamW+RAdam,1,0.922144498373113,Combo
PAReLU,AdamW+RAdam,2,0.7547869178885069,Combo
PAReLU,AdamW+RAdam,3,0.6942669435520757,Combo
PAReLU,AdamW+RAdam,4,0.5722058505985134,Combo
PAReLU,AdamW+RAdam,5,0.5132174836407634,Combo
PAReLU,AdamW+RAdam,6,0.4177060004915822,Combo
PAReLU,AdamW+RAdam,7,0.3443952170772618,Combo
PAReLU,AdamW+RAdam,8,0.2882591196426892,Combo
PAReLU,AdamW+RAdam,9,0.2528439625852211,Combo
PAReLU,AdamW+RAdam,10,0.2539078090967498,Combo
PAReLU,SGD+Adam+RAdam,1,0.868717894658911,Combo
PAReLU,SGD+Adam+RAdam,2,0.7756685361124237,Combo
PAReLU,SGD+Adam+RAdam,3,0.6345777825988452,Combo
PAReLU,SGD+Adam+RAdam,4,0.5864477562449542,Combo
PAReLU,SGD+Adam+RAdam,5,0.5287578669205594,Combo
PAReLU,SGD+Adam+RAdam,6,0.43987026132652346,Combo
PAReLU,SGD+Adam+RAdam,7,0.41209218956497545,Combo
PAReLU,SGD+Adam+RAdam,8,0.29624711464323683,Combo
PAReLU,SGD+Adam+RAdam,9,0.2444844742446506,Combo
PAReLU,SGD+Adam+RAdam,10,0.33160748360819325,Combo
DynamicSwish,SGD+Adam,1,0.9356047064745151,Combo
DynamicSwish,SGD+Adam,2,0.7936161442069432,Combo
DynamicSwish,SGD+Adam,3,0.6245875543077617,Combo
DynamicSwish,SGD+Adam,4,0.5299689381467396,Combo
DynamicSwish,SGD+Adam,5,0.5179824441754431,Combo
DynamicSwish,SGD+Adam,6,0.3832019397786446,Combo
DynamicSwish,SGD+Adam,7,0.3882616090919905,Combo
DynamicSwish,SGD+Adam,8,0.2833383448987349,Combo
DynamicSwish,SGD+Adam,9,0.36465730656035533,Combo
DynamicSwish,SGD+Adam,10,0.22908718647416706,Combo
DynamicSwish,AdamW+RAdam,1,0.8938540098267813,Combo
DynamicSwish,AdamW+RAdam,2,0.8231486380346431,Combo
DynamicSwish,AdamW+RAdam,3,0.6782033476212063,Combo
DynamicSwish,AdamW+RAdam,4,0.6492653206913468,Combo
DynamicSwish,AdamW+RAdam,5,0.4670183839652245,Combo
DynamicSwish,AdamW+RAdam,6,0.46186369120453663,Combo
DynamicSwish,AdamW+RAdam,7,0.3825833638664376,Combo
DynamicSwish,AdamW+RAdam,8,0.3111367885394352,Combo
DynamicSwish,AdamW+RAdam,9,0.25457260877123516,Combo
DynamicSwish,AdamW+RAdam,10,0.2855021087786106,Combo
DynamicSwish,SGD+Adam+RAdam,1,0.8621755934265118,Combo
DynamicSwish,SGD+Adam+RAdam,2,0.7770413602218942,Combo
DynamicSwish,SGD+Adam+RAdam,3,0.6914822269365142,Combo
DynamicSwish,SGD+Adam+RAdam,4,0.6043727341213627,Combo
DynamicSwish,SGD+Adam+RAdam,5,0.5264013576857463,Combo
DynamicSwish,SGD+Adam+RAdam,6,0.433089439793115,Combo
DynamicSwish,SGD+Adam+RAdam,7,0.382564426907928,Combo
DynamicSwish,SGD+Adam+RAdam,8,0.3094855070328529,Combo
DynamicSwish,SGD+Adam+RAdam,9,0.26921398310794786,Combo
DynamicSwish,SGD+Adam+RAdam,10,0.29041453196700023,Combo
AdaptiveGELUMish,SGD+Adam,1,0.8721324706125549,Combo
AdaptiveGELUMish,SGD+Adam,2,0.7432180366827937,Combo
AdaptiveGELUMish,SGD+Adam,3,0.6519194578686923,Combo
AdaptiveGELUMish,SGD+Adam,4,0.5824091210634482,Combo
AdaptiveGELUMish,SGD+Adam,5,0.5148890047401711,Combo
AdaptiveGELUMish,SGD+Adam,6,0.42828620594874606,Combo
AdaptiveGELUMish,SGD+Adam,7,0.42288257483304803,Combo
AdaptiveGELUMish,SGD+Adam,8,0.38696213327679235,Combo
AdaptiveGELUMish,SGD+Adam,9,0.32112250293093814,Combo
AdaptiveGELUMish,SGD+Adam,10,0.2554314734617668,Combo
AdaptiveGELUMish,AdamW+RAdam,1,0.9349421805162004,Combo
AdaptiveGELUMish,AdamW+RAdam,2,0.7518620148051225,Combo
AdaptiveGELUMish,AdamW+RAdam,3,0.6771908465131764,Combo
AdaptiveGELUMish,AdamW+RAdam,4,0.603570436162167,Combo
AdaptiveGELUMish,AdamW+RAdam,5,0.5228341772333639,Combo
AdaptiveGELUMish,AdamW+RAdam,6,0.3747949539610495,Combo
AdaptiveGELUMish,AdamW+RAdam,7,0.4060879127797336,Combo
AdaptiveGELUMish,AdamW+RAdam,8,0.33220619911317145,Combo
AdaptiveGELUMish,AdamW+RAdam,9,0.2788950028198792,Combo
AdaptiveGELUMish,AdamW+RAdam,10,0.2579482632146446,Combo
AdaptiveGELUMish,SGD+Adam+RAdam,1,0.9380723962820952,Combo
AdaptiveGELUMish,SGD+Adam+RAdam,2,0.7798020817524228,Combo
AdaptiveGELUMish,SGD+Adam+RAdam,3,0.6359286470728248,Combo
AdaptiveGELUMish,SGD+Adam+RAdam,4,0.5435581679741097,Combo
AdaptiveGELUMish,SGD+Adam+RAdam,5,0.4631624926611942,Combo
AdaptiveGELUMish,SGD+Adam+RAdam,6,0.4655610335331231,Combo
AdaptiveGELUMish,SGD+Adam+RAdam,7,0.4056631559210221,Combo
AdaptiveGELUMish,SGD+Adam+RAdam,8,0.37068261288375826,Combo
AdaptiveGELUMish,SGD+Adam+RAdam,9,0.34807146515801085,Combo
AdaptiveGELUMish,SGD+Adam+RAdam,10,0.27789325501011913,Combo
